codiUp;superficieRealSol;estatUrbanisticDescription;comercialitzacio;dretPropietat;codiMunicipi;nomMunicipi;descripcioActuacio;COD_CLAS;X;Y;"Total valor cadastral
"
25601;1171;Sòl edificat;FALSO;VERDADERO;25120;LLEIDA;Pardinyes;SUC;302983,5633;4611123,769;1171
23799;1037,27;Sòl inactiu;FALSO;VERDADERO;43148;TARRAGONA;Campclar;SUC;349669,6764;4554126,159;1037,27
27080;100459,75;Sòl inactiu;FALSO;VERDADERO;8191;SALLENT;els Plans de la Sala;SNU;409067,1102;4626513,986;100459,75
27868;16549;Sòl inactiu;FALSO;VERDADERO;8047;CARDONA;la Cort;SNU;392832,0251;4639931,966;16549
27451;14510,43;Sòl inactiu;FALSO;VERDADERO;8260;SANTA PERPÈTUA DE MOGODA;Gallecs la Creueta;SUC;432982,1989;4598279,068;14510,43
9787;13587,5;Sòl inactiu;FALSO;VERDADERO;8113;MANRESA;Torre de Santa Caterina;SNU;402103,3925;4618851,611;13587,5
25759;3267;Sòl edificat;FALSO;VERDADERO;8298;VIC;Sector El Nadal;SUC;436947,9321;4642441,959;3267
24669;6452,14;Sòl inactiu;FALSO;VERDADERO;43056;FATARELLA,LA;Pol. Industrial Comarcal (les Camposines);SNU;292255,1881;4553343,468;6452,14
24385;7299,18;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;Plans d'Ofegat;SNU;345912,538;4613840,039;7299,18
27568;2288,83;Sòl net totalment urbanitzat;FALSO;VERDADERO;25120;LLEIDA;el Camí dels Frares;SUC;305772,7252;4609568,039;2288,83
27190;18626,58;Sòl inactiu;FALSO;VERDADERO;43170;VILA-RODONA;Planes del Guardià;SNU;359712,8902;4573443,585;18626,58
8596;4250,76;Sòl inactiu;FALSO;VERDADERO;8307;VILANOVA I LA GELTRÚ;el Prat (la Millera);SNU;389731,4073;4562659,979;4250,76
25302;582;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;c/ Valldonzella;SUC;430180,7032;4581707,963;582
28884;27612,31;Sòl net pendent execució obra;FALSO;VERDADERO;17161;SANT FELIU DE PALLEROLS;Pla de Llongafollia;SUD;458406,112;4659145,677;27612,31
27304;20380,83;Sòl net parcialment urbanitzat (falta algun servei);FALSO;VERDADERO;8015;BADALONA;el Pomar;;437487,3364;4590971,282;20380,83
18;37521;Sòl inactiu;FALSO;VERDADERO;8089;GAVÀ;els Joncs (el Rourell);SNU;416051,2355;4571347,604;37521
23069;19,78;Sòl inactiu;FALSO;VERDADERO;8301;VILADECANS;Ca l'Alemany;SNU;418514,9233;4573052,588;19,78
26832;12521,67;Sòl inactiu;FALSO;VERDADERO;17002;AIGUAVIVA;Nou sector industrial (entorn aeroport);SNU;481435,0317;4639310,828;12521,67
23939;97;Sòl inactiu;FALSO;VERDADERO;8191;SALLENT;el Barri de l'Estació;SNU;408464,0573;4630193,671;97
25;93,8;Sòl inactiu;FALSO;VERDADERO;43009;ALFORJA;les Sorts;;330137,7892;4564666,619;93,8
25618;184;Sòl edificat;FALSO;VERDADERO;17147;RIPOLL;Ripoll;SUC;433512,8593;4672894,883;184
27097;1097,96;Sòl inactiu;FALSO;VERDADERO;8300;VILADECAVALLS;Can Mitjans;;413317,936;4601234,018;1097,96
25362;1144,5;Sòl edificat;FALSO;VERDADERO;25171;POBLA DE SEGUR,LA;la Pobla;SUC;332114,1706;4678432,464;1144,5
25931;632;Sòl edificat;FALSO;VERDADERO;43156;ULLDECONA;Compra d'habitatge per tanteig i retracte;;;;632
13100;781,42;Sòl inactiu;FALSO;VERDADERO;43155;TORTOSA;Baix Ebre;SNU;293482,792;4515252,421;781,42
18001;2477,71;Sòl inactiu;FALSO;VERDADERO;43155;TORTOSA;Pol. Industrial Catalunya Sud;SNU;298029,4181;4515198,02;2477,71
26953;84390,07;Sòl inactiu;FALSO;VERDADERO;43108;PLA DE SANTA MARIA,EL;la Garriga Gran;SNU;358236,636;4577351,663;84390,07
22889;1218,88;Sòl edificat;FALSO;VERDADERO;8056;CASTELLDEFELS;el Canal Piragüisme;SNU;415604,6594;4570432,806;1218,88
234;41;Sòl net totalment urbanitzat;FALSO;VERDADERO;43155;TORTOSA;Barri Sant Jaume;SUC;291073,2071;4521262,626;41
11022;41432,52;Sòl inactiu;FALSO;VERDADERO;43060;FLIX;la Ventonella;SNU;293926,9938;4566313,449;41432,52
